part,regime,Ma,alpha,n_iters,Cd_mean,Cd_std,Cl_mean,Cl_std,Cs_mean,Cs_std,CmPitch_mean,CmPitch_std,CmRoll_mean,CmRoll_std,CmYaw_mean,CmYaw_std
all,supersonic,1.4,15,50,1.0474898186,0.003497934023350688,0.55156779106,0.001939567586441215,-0.063256108068,0.011793230532728929,-0.28751594868,0.0029368070590217988,-0.0127233646614,0.0024795959748573878,-0.04748554654800001,0.00925405415620117
all,supersonic,1.7,0,50,0.7665812711600002,0.0024517662545504,2.2202843837059996e-05,9.870340342107555e-06,-5.5371872826e-05,8.153713702414999e-06,-3.2074331502e-05,7.489896205140248e-06,-8.609552953200001e-08,1.3053899588032195e-08,-5.6622935350245995e-06,4.923087697680419e-06
all,supersonic,1.7,3,50,0.7877003890799998,0.0007561550443004842,0.078966334234,0.0002056673603937266,-1.09872576956e-06,1.3205399079253894e-05,-0.03770747386,0.00028148793949045177,2.9450005736e-06,4.949181289547434e-07,6.0716286861999994e-05,9.537265209783326e-06
all,supersonic,1.7,5,50,0.80611461894,0.004054720288982829,0.13701702108000002,0.0002182989805660976,-0.00028838342926,1.4904332066724475e-05,-0.066323805386,0.0002040512772347853,-1.3869979998e-05,7.976707785557556e-07,-0.00015587694554,9.277853044711418e-06
all,supersonic,1.7,7,50,0.83533518696,0.003312410982612052,0.20288247832,0.0001805405001215513,-0.0010935732348600002,6.287813910412328e-05,-0.10023247504799998,0.00027230157045146197,-9.702433543799999e-05,6.308714356798532e-06,-0.000788351803,5.117704638951859e-05
all,supersonic,1.7,15,50,1.0255609012,0.003070582677850712,0.78329438482,0.00023676695280989678,-0.043588811320000004,0.00018025090501644939,-0.41695274814,0.000503243391053779,-0.0085821679676,8.043170406831231e-05,-0.032030139738,0.0003006207747721032
all,supersonic,3,0,50,0.47795047110000005,0.002901864304797814,-6.341936836498001e-05,0.00015736722101008531,4.680086219359999e-06,0.0001221411499276539,-1.6277788057999997e-06,7.640313283824627e-05,1.3935152347600002e-07,2.8269374380489655e-08,2.8433706789199996e-05,6.242594369402044e-05
all,supersonic,3,3,50,0.49549409290000007,0.000849227241773928,0.10723728401999999,0.00035439600735148405,-0.0004179514008,0.0001188168705122851,-0.04478582604200001,0.00014711794936761398,-1.2520357173399998e-05,2.788561876056402e-06,-0.00024263373414000003,5.321464293674761e-05
all,supersonic,3,5,50,0.5114665891999999,0.0020215857616116702,0.19176152153999998,0.00018488316769900296,-0.00104328532926,0.00011411050759345809,-0.081789845832,0.00019819717491823677,-6.323226446e-05,6.407281064842354e-06,-0.0007246818013600001,7.312880548243975e-05
all,supersonic,3,7,50,0.5299360387600001,0.0009103086545712199,0.30746792816,0.0004528731316070857,-0.001886281821,0.0002793203109115548,-0.13505464238,0.00036593362894187165,-0.00018100363332000001,2.1827031954991173e-05,-0.0014760777074,0.0001776873107778656
all,supersonic,3,10,50,0.59331593644,0.0012792086479329271,0.66345738,0.0005294940939594349,-0.003548912338599999,0.0001956930936283228,-0.32574924637999997,0.00045749014443975173,-0.00048167266262,3.403346857655687e-05,-0.0027328709941999998,0.00019288746377866137
all,supersonic,3,15,50,0.9115472928400001,0.008467545636555374,1.5806745527999997,0.01668421758787285,-0.0075989744054000006,0.0010757497862689384,-0.8680412645,0.0010479554789817032,-0.00111324590486,0.0002055651924507876,-0.0041553774776,0.0007672093299628778
all,supersonic,4,0,50,0.3733357691799999,0.006314965884376763,0.000160676366654,0.00022921821569539145,0.0004891617018000001,0.00012239771705413617,-0.00011849645314880002,0.00010029276407439328,3.8180001042e-07,3.152110705185554e-08,0.0002158228644728,0.00012411940358806524
all,supersonic,4,3,50,0.39841817756000003,0.009797000132319749,0.1328467712,0.013445889697393125,-0.00023566992325939999,0.0005483535959505964,-0.051752644782,0.00219186961696651,5.0090473119999994e-08,5.019421524593124e-06,-5.040710887480003e-06,9.48265386384644e-05
all,supersonic,4,5,50,0.42403078072000006,0.008490633809317142,0.25432901718,0.016161221129447196,0.000569079862616,0.00044085355093789367,-0.09847832713999999,0.00030148981788300676,-7.877026353620001e-06,1.8978770628479314e-05,-9.393700432460001e-05,0.00021615831954768612
all,supersonic,4,7,50,0.45514074700000007,0.006256521098156744,0.43935950935999996,0.009848992130581807,0.00241487851464,0.0006766413722792839,-0.18215747948,0.0005867731447149422,3.638693592892e-05,3.961649426871234e-05,0.000292534316874,0.00032286708054884446
