t, с;m, кг;V_x, м/с;V_y, м/с;x, м;y, м;h, м;V, м/с;theta, град.;Theta, град.;Theta_с, град.;alpha, град.;phi, град.
171.70000000;2497.37819767;216.95360503;297.81223003;11310.76187142;1764480.14618556;26516.39822846;368.45758384;46.37116124;54.29426467;53.92698934;-7.55582809;0.36727534
171.80000000;2497.08546512;217.23089874;297.94657392;11332.47109517;1764509.93412655;26546.32484738;368.72947302;46.34349553;54.27242857;53.90445454;-7.56095902;0.36797403
171.90000000;2496.79273256;217.50836407;298.08082295;11354.20805688;1764539.73549719;26576.26533655;369.00144370;46.31582981;54.25059635;53.88192275;-7.56609294;0.36867360
172.00000000;2496.50000000;217.78600100;298.21497703;11375.97277371;1764569.55028798;26606.21968757;369.27349587;46.28816409;54.22876800;53.85939396;-7.57122987;0.36937405
172.10000000;2496.20726744;218.06380950;298.34903606;11397.76526280;1764599.37848942;26636.18789207;369.54562957;46.26049837;54.20694353;53.83686817;-7.57636980;0.37007537
172.20000000;2495.91453488;218.34178956;298.48299996;11419.58554133;1764629.22009202;26666.16994164;369.81784480;46.23283265;54.18512294;53.81434538;-7.58151273;0.37077756
172.30000000;2495.62180233;218.61994114;298.61686864;11441.43362643;1764659.07508624;26696.16582789;370.09014158;46.20516693;54.16330623;53.79182559;-7.58665866;0.37148063
172.40000000;2495.32906977;218.89826421;298.75064200;11463.30953527;1764688.94346257;26726.17554241;370.36251993;46.17750121;54.14149339;53.76930881;-7.59180760;0.37218458
172.50000000;2495.03633721;219.17675875;298.88431997;11485.21328499;1764718.82521146;26756.19907678;370.63497986;46.14983549;54.11968443;53.74679503;-7.59695953;0.37288941
172.60000000;2494.74360465;219.45542473;299.01790244;11507.14489273;1764748.72032338;26786.23642258;370.90752139;46.12216977;54.09787936;53.72428425;-7.60211447;0.37359511
172.70000000;2494.45087209;219.73426213;299.15138933;11529.10437565;1764778.62878876;26816.28757139;371.18014453;46.09450406;54.07607816;53.70177647;-7.60727241;0.37430169
172.80000000;2494.15813953;220.01327092;299.28478056;11551.09175087;1764808.55059806;26846.35251476;371.45284930;46.06683834;54.05428084;53.67927169;-7.61243335;0.37500915
172.90000000;2493.86540698;220.29245107;299.41807603;11573.10703555;1764838.48574168;26876.43124425;371.72563572;46.03917262;54.03248740;53.65676991;-7.61759729;0.37571749
173.00000000;2493.57267442;220.57180255;299.55127565;11595.15024680;1764868.43421007;26906.52375142;371.99850379;46.01150690;54.01069784;53.63427114;-7.62276424;0.37642671
173.10000000;2493.27994186;220.85132534;299.68437933;11617.22140177;1764898.39599362;26936.63002781;372.27145354;45.98384118;53.98891217;53.61177536;-7.62793418;0.37713681
173.20000000;2492.98720930;221.13101941;299.81738699;11639.32051758;1764928.37108273;26966.75006496;372.54448498;45.95617546;53.96713038;53.58928259;-7.63310713;0.37784778
173.30000000;2492.69447674;221.41088474;299.95029853;11661.44761136;1764958.35946781;26996.88385439;372.81759812;45.92850974;53.94535247;53.56679282;-7.63828308;0.37855964
173.40000000;2492.40174419;221.69092129;300.08311387;11683.60270023;1764988.36113923;27027.03138762;373.09079299;45.90084402;53.92357844;53.54430605;-7.64346203;0.37927239
173.50000000;2492.10901163;221.97112904;300.21583291;11705.78580132;1765018.37608737;27057.19265619;373.36406959;45.87317830;53.90180829;53.52182228;-7.64864398;0.37998601
173.60000000;2491.81627907;222.25150796;300.34845557;11727.99693175;1765048.40430260;27087.36765158;373.63742794;45.84551259;53.88004203;53.49934151;-7.65382893;0.38070052
173.70000000;2491.52354651;222.53205803;300.48098176;11750.23610862;1765078.44577527;27117.55636531;373.91086806;45.81784687;53.85827965;53.47686375;-7.65901688;0.38141590
173.80000000;2491.23081395;222.81277921;300.61341139;11772.50334906;1765108.50049574;27147.75878888;374.18438996;45.79018115;53.83652116;53.45438898;-7.66420783;0.38213218
173.90000000;2490.93808140;223.09367149;300.74574436;11794.79867016;1765138.56845433;27177.97491377;374.45799365;45.76251543;53.81476655;53.43191722;-7.66940179;0.38284933
174.00000000;2490.64534884;223.37473483;300.87798060;11817.12208906;1765168.64964138;27208.20473146;374.73167916;45.73484971;53.79301583;53.40944845;-7.67459874;0.38356738
174.10000000;2490.35261628;223.65596920;301.01012000;11839.47362283;1765198.74404722;27238.44823342;375.00544649;45.70718399;53.77126899;53.38698269;-7.67979870;0.38428630
174.20000000;2490.05988372;223.93737458;301.14216248;11861.85328860;1765228.85166215;27268.70541114;375.27929567;45.67951827;53.74952604;53.36451992;-7.68500165;0.38500611
174.30000000;2489.76715116;224.21895094;301.27410796;11884.26110345;1765258.97247648;27298.97625606;375.55322670;45.65185255;53.72778697;53.34206016;-7.69020761;0.38572681
174.40000000;2489.47441860;224.50069826;301.40595634;11906.69708448;1765289.10648051;27329.26075965;375.82723961;45.62418683;53.70605180;53.31960340;-7.69541657;0.38644840
174.50000000;2489.18168605;224.78261650;301.53770753;11929.16124880;1765319.25366451;27359.55891335;376.10133440;45.59652111;53.68432051;53.29714964;-7.70062852;0.38717087
174.60000000;2488.88895349;225.06470563;301.66936144;11951.65361348;1765349.41401877;27389.87070860;376.37551110;45.56885540;53.66259310;53.27469887;-7.70584348;0.38789423
174.70000000;2488.59622093;225.34696564;301.80091799;11974.17419562;1765379.58753355;27420.19613683;376.64976971;45.54118968;53.64086959;53.25225111;-7.71106143;0.38861848
174.80000000;2488.30348837;225.62939649;301.93237708;11996.72301230;1765409.77419912;27450.53518948;376.92411026;45.51352396;53.61914996;53.22980635;-7.71628239;0.38934361
174.90000000;2488.01075581;225.91199816;302.06373863;12019.30008061;1765439.97400572;27480.88785796;377.19853275;45.48585824;53.59743422;53.20736459;-7.72150635;0.39006964
175.00000000;2487.71802326;226.19477061;302.19500254;12041.90541763;1765470.18694359;27511.25413369;377.47303720;45.45819252;53.57572237;53.18492582;-7.72673330;0.39079655
175.10000000;2487.42529070;226.47771382;302.32616873;12064.53904042;1765500.41300297;27541.63400808;377.74762363;45.43052680;53.55401441;53.16249006;-7.73196326;0.39152435
175.20000000;2487.13255814;226.76082777;302.45723711;12087.20096608;1765530.65217408;27572.02747252;378.02229206;45.40286108;53.53231035;53.14005730;-7.73719621;0.39225305
175.30000000;2486.83982558;227.04411241;302.58820759;12109.89121167;1765560.90444713;27602.43451841;378.29704248;45.37519536;53.51061017;53.11762753;-7.74243217;0.39298263
175.40000000;2486.54709302;227.32756773;302.71908007;12132.60979425;1765591.16981233;27632.85513713;378.57187493;45.34752964;53.48891388;53.09520077;-7.74767112;0.39371311
175.50000000;2486.25436047;227.61119370;302.84985447;12155.35673090;1765621.44825987;27663.28932006;378.84678942;45.31986393;53.46722148;53.07277700;-7.75291307;0.39444448
175.60000000;2485.96162791;227.89499029;302.98053071;12178.13203868;1765651.73977995;27693.73705859;379.12178596;45.29219821;53.44553298;53.05035623;-7.75815803;0.39517674
175.70000000;2485.66889535;228.17895747;303.11110868;12200.93573465;1765682.04436274;27724.19834406;379.39686456;45.26453249;53.42384836;53.02793846;-7.76340598;0.39590990
175.80000000;2485.37616279;228.46309522;303.24158831;12223.76783586;1765712.36199841;27754.67316785;379.67202525;45.23686677;53.40216764;53.00552369;-7.76865693;0.39664395
175.90000000;2485.08343023;228.74740350;303.37196949;12246.62835938;1765742.69267712;27785.16152130;379.94726802;45.20920105;53.38049081;52.98311192;-7.77391087;0.39737889
176.00000000;2484.79069767;229.03188228;303.50225215;12269.51732224;1765773.03638902;27815.66339577;380.22259291;45.18153533;53.35881788;52.96070315;-7.77916782;0.39811472
176.10000000;2484.49796512;229.31653154;303.63243619;12292.43474151;1765803.39312426;27846.17878258;380.49799992;45.15386961;53.33714883;52.93829738;-7.78442777;0.39885146
176.20000000;2484.20523256;229.60135126;303.76252153;12315.38063423;1765833.76287297;27876.70767307;380.77348908;45.12620389;53.31548368;52.91589460;-7.78969071;0.39958908
176.30000000;2483.91250000;229.88634140;303.89250806;12338.35501745;1765864.14562527;27907.25005857;381.04906038;45.09853817;53.29382243;52.89349482;-7.79495665;0.40032761
176.40000000;2483.61976744;230.17150193;304.02239572;12361.35790819;1765894.54137129;27937.80593039;381.32471386;45.07087246;53.27216507;52.87109804;-7.80022559;0.40106702
176.50000000;2483.32703488;230.45683282;304.15218440;12384.38932351;1765924.95010112;27968.37527985;381.60044951;45.04320674;53.25051160;52.84870426;-7.80549753;0.40180734
176.60000000;2483.03430233;230.74233405;304.28187401;12407.44928044;1765955.37180487;27998.95809825;381.87626736;45.01554102;53.22886203;52.82631348;-7.81077246;0.40254855
176.70000000;2482.74156977;231.02800559;304.41146447;12430.53779600;1765985.80647262;28029.55437689;382.15216743;44.98787530;53.20721635;52.80392569;-7.81605039;0.40329067
176.80000000;2482.44883721;231.31384741;304.54095569;12453.65488723;1766016.25409445;28060.16410706;382.42814972;44.96020958;53.18557457;52.78154090;-7.82133132;0.40403367
176.90000000;2482.15610465;231.59985948;304.67034758;12476.80057116;1766046.71466044;28090.78728004;382.70421425;44.93254386;53.16393669;52.75915911;-7.82661525;0.40477758
177.00000000;2481.86337209;231.88604178;304.79964004;12499.97486480;1766077.18816065;28121.42388712;382.98036104;44.90487814;53.14230270;52.73678031;-7.83190217;0.40552239
177.10000000;2481.57063953;232.17239427;304.92883300;12523.17778518;1766107.67458514;28152.07391956;383.25659010;44.87721242;53.12067261;52.71440451;-7.83719209;0.40626810
177.20000000;2481.27790698;232.45891692;305.05792635;12546.40934933;1766138.17392393;28182.73736863;383.53290144;44.84954670;53.09904642;52.69203171;-7.84248501;0.40701471
177.30000000;2480.98517442;232.74560971;305.18692002;12569.66957424;1766168.68616708;28213.41422558;383.80929508;44.82188098;53.07742412;52.66966191;-7.84778092;0.40776222
177.40000000;2480.69244186;233.03247260;305.31581390;12592.95847694;1766199.21130461;28244.10448166;384.08577103;44.79421527;53.05580572;52.64729510;-7.85307983;0.40851063
177.50000000;2480.39970930;233.31950558;305.44460792;12616.27607443;1766229.74932654;28274.80812813;384.36232931;44.76654955;53.03419122;52.62493129;-7.85838174;0.40925994
177.60000000;2480.10697674;233.60670860;305.57330198;12639.62238372;1766260.30022286;28305.52515621;384.63896993;44.73888383;53.01258062;52.60257047;-7.86368664;0.41001015
177.70000000;2479.81424419;233.89408165;305.70189599;12662.99742182;1766290.86398360;28336.25555714;384.91569290;44.71121811;52.99097392;52.58021265;-7.86899454;0.41076127
177.80000000;2479.52151163;234.18162469;305.83038986;12686.40120572;1766321.44059872;28366.99932214;385.19249825;44.68355239;52.96937111;52.55785782;-7.87430543;0.41151329
177.90000000;2479.22877907;234.46933769;305.95878351;12709.83375242;1766352.03005823;28397.75644243;385.46938597;44.65588667;52.94777221;52.53550599;-7.87961932;0.41226621
178.00000000;2478.93604651;234.75722062;306.08707684;12733.29507892;1766382.63235208;28428.52690921;385.74635610;44.62822095;52.92617720;52.51315716;-7.88493621;0.41302004
178.10000000;2478.64331395;235.04527346;306.21526977;12756.78520221;1766413.24747025;28459.31071369;386.02340864;44.60055523;52.90458610;52.49081132;-7.89025609;0.41377478
178.20000000;2478.35058140;235.33349618;306.34336220;12780.30413928;1766443.87540268;28490.10784707;386.30054360;44.57288951;52.88299889;52.46846848;-7.89557896;0.41453041
178.30000000;2478.05784884;235.62188874;306.47135405;12803.85190711;1766474.51613934;28520.91830053;386.57776101;44.54522380;52.86141559;52.44612863;-7.90090483;0.41528696
178.40000000;2477.76511628;235.91045112;306.59924523;12827.42852269;1766505.16967014;28551.74206527;386.85506087;44.51755808;52.83983618;52.42379177;-7.90623370;0.41604441
178.50000000;2477.47238372;236.19918329;306.72703564;12851.03400299;1766535.83598502;28582.57913245;387.13244320;44.48989236;52.81826068;52.40145792;-7.91156556;0.41680277
178.60000000;2477.17965116;236.48808521;306.85472520;12874.66836500;1766566.51507391;28613.42949324;387.40990801;44.46222664;52.79668908;52.37912705;-7.91690041;0.41756203
